no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
AZ QUEST INVESTIMENTOS,,AZ Quest Investimentos Ltda.,,,,04506394000105
AZUL,Azul S.A.,,Azul S.A.,,,09305994000129
AZUL INVESTMENTS LLP,AZUL Investments LLP,,,,,
AZURE CONSIGNADO FIDC,,,,AZURE CONSIGNADO FIDC - SENIORES ÚNICA,,
AZZAS 2154,,,AZZAS 2154 S.A.,,,16590234000176
B3,"B3 S.A. Brasil, Bolsa, Balcao","B3 S.A. – Brasil, Bolsa, Balcão",,,,09346601000125
B4 TRUST FIDC,,,,B4 TRUST FIDC - SUBORDINADAS MEZANINO,,
B4 TRUST FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,32287737000123
B7 FIDC NP,,,,B7 FIDC NP - SUBORDINADAS MEZANINO,,
BABILONIA HOLDING,,Babilônia Holding S.A.,,,,26680187000105
BACKSTAGE FIDC NP,,,,BACKSTAGE FIDC NP - SUBORDINADAS JÚNIOR,,
BAHIA AM RENDA FIXA,,Bahia AM Renda Fixa Ltda.,,,,13151244000117
BAHIA AM RENDA VARIAVEL,,Bahia AM Renda Variável Ltda.,,,,13143849000166
BANCO,Banco do Brasil S.A.,Banco do Brasil S.A.,,,,00000000000191
BANCO ABC,Banco ABC Brasil S.A.,Banco ABC Brasil S.A.,Banco ABC Brasil S.A.,,,05715127000100
BANCO AGIBANK,Banco Agibank S.A.,Banco Agibank S.A.,Banco Agibank S.A.,,,10664513000150
BANCO AMAZONIA,Banco da Amazonia S.A.,Banco da Amazônia S.A.,,,,04902979000144
BANCO ANDBANK,Banco Andbank (Brasil) S.A.,,,,,48795256000169
BANCO BARI INVESTIMENTOS FINANCIAMENTOS,,Banco Bari de Investimentos e Financiamentos S.A.,,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,,00556603000174
BANCO BMG,Banco BMG S.A.,Banco BMG S.A.,Banco BMG S.A.,,,61186680000174
