no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
SIGMA CREDIT FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS,,,,,SIGMA CREDIT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,
SIGMA CREDIT FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SIGMA CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,29236426000120
SILVER STONE FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,SILVER STONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,26000055000195
SIMPAR,Simpar S.A.,Simpar S.A.,Simpar S.A.,,,07415333000120
SIMPLIX CONSIGNADO PRIVADO I FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESP LIMITADA,,,,,SIMPLIX CONSIGNADO PRIVADO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,
SIMPLIX CONSIGNADO PRIVADO II FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESP LIMITADA,,,,,SIMPLIX CONSIGNADO PRIVADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESP LIMITADA,
SIMULTI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SIMULTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,48928851000125
SINAI CONSIG FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,SINAI CONSIG FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,60742391000141
SINAI MULTI FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,,,,,SINAI MULTI FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,
SISPRIME,Sisprime do Brasil - Cooperativa de Credito,,,,,
SKADE CAPITAL,,,,SKADE CAPITAL,,
SL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,41820379000163
SLC AGRICOLA,,SLC Agrícola S.A.,SLC Agricola S/A,,,89096457000155
SMARTFIT ESCOLA GINASTICA DANCA,Smartfit Escola de Ginastica e Danca S.A.,,,,,07594978000178
SOBRAL I SOLAR ENERGIA SPE,Sobral I Solar Energia SPE S.A.,,,,,
SOCIEDADE ABASTECIMENTO AGUA SANEAMENTO,Sociedade de Abastecimento de Agua e Saneamento S.A.,,,,,46119855000137
SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA,Sociedade Beneficente Israelita Brasileira - Hospital Albert Einstein,,,,,60765823000130
SOCIEDADE BENEFICENTE ISRAELITA BRASILEIRA HOSPITAL ALBERT EINSTEIN,,Sociedade Beneficente Israelita Brasileira Hospital Albert Einstein,,,,60765823000130
SOFTPLAN,,Softplan S.A.,,,,15087394000134
SOL AGORA GREEN ESG FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Sol Agora Green ESG Fundo de Investimento em Direitos Creditórios,,,,47640584000123
SOL AGORA GREEN III ESG FUNDO INVESTIMENTO DIREITOS CREDITORIOS IS SEGMENTO FINANCEIRO RESPONSABILDADE LIMITADA,,Sol Agora Green III ESG Fundo de Investimento em Direitos Creditórios IS Segmento Financeiro de Responsabildade Limitada,,,,58510255000184
SOLAR BEBIDAS,Solar Bebidas S.A.,Solar Bebidas S.A.,,,,41052420000107
SOLAR FIDC NP,,,,SOLAR FIDC NP - SENIORES 1ª SÉRIE,,
SOLARIS TRANSMISSAO ENERGIA,Solaris Transmissao de Energia S.A.,,,,,
SOLFACIL,,Solfacil - CRI V,,,,31931053000150
SOLFACIL CREDITO PESSOAL VII FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,Solfácil Crédito Pessoal VII Fundo de Investimento em Direitos Creditórios Responsabilidade Limitada,,,,63.505.455/0001-89
SOLIS CAPITAL ANTARES PIONEIRO FIDC,,,,SOLIS CAPITAL ANTARES PIONEIRO FIDC - ÚNICA,,
SOLIS CONSIGNADO FIDC,,,,SOLIS CONSIGNADO FIDC  - SUBORDINADAS,,
SOLIS CONSIGNADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,SOLIS CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32513415000155
SOLIS INVESTIMENTOS,,Solis Investimentos Ltda,,,,17254708000171
SOLIS PORTFOLIO CREDITO FIC FIDC,,,,SOLIS PORTFOLIO CRÉDITO FIC FIDC - ÚNICA,,58525584000107
SOLIS RECEBIVEIS COMERCIAIS FIC FIDC,,,,,SOLIS RECEBÍVEIS COMERCIAIS FIC FIDC,
SOLIS RECEBIVEIS COMERCIAIS I FIC FIDC,,,,,SOLIS RECEBÍVEIS COMERCIAIS I FIC FIDC,
SOLVI ESSENCIS AMBIENTAL,,,Solvi Essencis Ambiental S.A.,,,40263170000183
SOMA FIDC NP,,,,SOMA FIDC NP - SUBORDINADAS JÚNIOR,,
SOMA II FIDC,,,,SOMA II FIDC  - SENIORES 1ª SÉRIE,,
SOMMA INVESTIMENTOS,,Somma Investimentos S.A.,,,,05563299000106
SOMOS SISTEMAS ENSINO,Somos Sistemas de Ensino S.A.,,,,,49323314000114
SONATA FIDC,,,,SONATA FIDC - SUBORDINADAS JÚNIOR,,
SONORA ESTANCIA,,,Sonora Estancia S.A.,,,47902283000120
SOROCABA REFRESCOS,,Sorocaba Refrescos S.A.,,,,45913696000185
SOULPAY FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Soulpay Fundo de Investimento em Direitos Creditórios,,,,48967719000122
SPAR I SUBHOLDING,SPAR I Subholding S.A.,,,,,
SPARK FIDC,,,,SPARK FIDC - SUBORDINADAS MEZANINO,,
SPE CONCESSIONARIA AEROPORTO ILHEUS,,SPE Concessionária do Aeroporto de Ilhéus S.A.,,,,31840260000107
SPE CONCESSIONARIA VOE XAP,,SPE Concessionária Voe XAP S.A.,,,,39984031000160
SPE NOVO NORTE AEROPORTOS,,SPE Novo Norte Aeroportos S.A.,,,,48710127000120
SPE TRANSMISSORA ENERGIA LINHA VERDE I,,,SPE Transmissora de Energia Linha Verde I S.A.,,,29568539000123
SPE TRANSMISSORA ENERGIA LINHA VERDE II,SPE Transmissora de Energia Linha Verde II S.A.,,,,,
SPECIAL SITUATIONS FIDC NP,,,,SPECIAL SITUATIONS FIDC NP - ÚNICA,,
SPECIAL SITUATIONS I FIC FIDC NP,,,,SPECIAL SITUATIONS I FIC FIDC NP - ÚNICA,,
SPECIAL SITUATIONS II FIC FIDC NP,,,,SPECIAL SITUATIONS II FIC FIDC NP - ÚNICA,,
SPECTRA INVESTIMENTOS,,Spectra Investimentos Ltda.,,SPECTRA INVESTIMENTOS,,44011526000142
SPIC ENERGIA PARTICIPACOES,Spic Brasil Energia Participacoes S.A.,,SPIC Brasil Energia Participacoes S.A.,,,27317702000150
SPS ALGARVE DELTA CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,SPS ALGARVE DELTA CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,
SPS ALGARVE DELTA CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,SPS ALGARVE DELTA CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,
SPS I FIDC NP,,,,SPS CORP I FIDC NP - ÚNICA,,28472352000169
SPX GESTAO RECURSOS,,SPX Gestão de Recursos Ltda.,,,,12330774000160
SQUID FUNDO INVESTIMENTO DIRETOS CREDITORIOS,,,,,SQUID FUNDO DE INVESTIMENTO EM DIRETOS CREDITÓRIOS,
SRBT SUBHOLDING,SRBT Subholding S.A.,,,,,
SRM SEC SECURITIZADORA,,,SRM Sec Securitizadora S.A.,,,02211906000180
ST 1001 FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ST 1001 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
STARBOARD SPECIAL SITUATIONS II FUNDO INVESTIMENTO DIREITOS CREDITORIOS NP,,,,,Starboard Special Situations II Fundo de Investimento em Direitos Creditorios NP,
STARK BANK,Stark Bank S.A. - Instituicao de Pagamento,Stark Bank S.A. – Instituição de Pagamento,Stark Bank S.A. - Instituição de Pagamento,,,20018183000180
STARK GROUP HOLDING,Stark Group Holding,,,,,
STARS BANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS LP,,,,,STARS BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LP,
STATE GRID BRAZIL HOLDING,,State Grid Brazil Holding S.A.,,,,11938558000139
STELLANTIS FINANCIAMENTOS SOCIEDADE CREDITO,,"Stellantis Financiamentos Sociedade de Crédito, Financiamento e Investimento S.A.",,,,58082688000186
STEP,,,,STEP-UP III FIDC NP - ÚNICA,,
STEP UP FIDC NP ACOES JUDICIAIS,,,,STEP UP FIDC NP DE AÇÕES JUDICIAIS - ÚNICA,,
STONE FIC FIDC,,,,STONE FIC FIDC - SUBORDINADAS,,
STONE III FIDC,,,,STONE III FIDC - SUBORDINADAS,,
STONE INSTITUICAO PAGAMENTO,,,Stone Instituicao de Pagamento S.A.,,,16501555000157
STONE IV FIDC,,,,STONE IV FIDC - SUBORDINADAS,,
STONE SOCIEDADE CREDITO,,"Stone Sociedade de Crédito, Financiamento e Investimento S.A.","Stone Sociedade de Credito, Financiamento e Investimento S.A.",,,53505601000112
STRESS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,NO STRESS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
STRESS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,NO STRESS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,
STRUCTURE FIDC,,,,STRUCTURE FIDC - SUBORDINADAS JÚNIOR,,
STRUTTURA AGRO FIDC,,,,STRUTTURA AGRO FIDC - SUBORDINADAS JÚNIOR,,
STZ FORNECEDORES FIDC CORPORATIVOS,,,,STZ FORNECEDORES FIDC CORPORATIVOS - SENIORES 2ª SÉRIE,,
STZ FORNECEDORES FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,STZ Fornecedores Fundo de Investimento em Direitos Creditórios,
SUL AMERICA COMPANHIA SEGURO SAUDE,Sul America Companhia de Seguro Saude,,,,,
SUL AMERICA INVESTIMENTOS DTVM,,,Sul America Investimentos DTVM S.A.,,,32206435000183
SUL CONCESSOES PARTICIPACOES,,Sul Concessões e Participações S.A.,,,,43277147000136
SUL FIDC,,,,SUL BRASIL FIDC - SUBORDINADAS MEZANINO,,
SUL FIDC NP,,,,SUL BRASIL FIDC NP - SENIORES ÚNICA,,
SUMUP SMART I FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart I FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,62626409000175
SUMUP SMART II FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart II FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,62627051000103
SUMUP SMART III FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart III FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,62627122000160
SUMUP SMART IV FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart IV FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,62626887000185
SUMUP SMART V FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart V FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,
SUMUP SMART VI FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart VI FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,
SUMUP SMART VII FIDC SEGMENTO MEIOS PAGAMENTO RESPONSABILIDADE LIMITADA,,,SumUp Smart VII FIDC Segmento Meios de Pagamento de Responsabilidade Limitada,,,
SUNNYHUB FIDC,,,,SUNNYHUB FIDC - SENIORES ÚNICA,,
SUNO ENERGIAS LIMPAS PROJETOS MADUROS,Suno Energias Limpas Projetos Maduros S.A,,,,,
SUNRISE FIDC,,,,SUNRISE FIDC - ÚNICA,,
SUZANO,Suzano S.A.,Suzano S.A.,Suzano S.A.,,,16404287000155
SWISS RE CORPORATE SOLUTIONS SEGUROS,,Swiss Re Corporate Solutions Brasil Seguros S.A.,,,,72145931000199
SYN PROP TECH,,SYN Prop e Tech S.A.,,,,08801621000186
T V V,T V V - Terminal de Vila Velha S.A.,,,,,02639850000160
TAIPATSB FIDC NP MULTISSETORIAL,,,,TAIPATSB FIDC NP MULTISSETORIAL - SUBORDINADAS JÚNIOR,,
TAPSO FIDC,,,,TAPSO FIDC - SUBORDINADAS JÚNIOR,,
TARUMA FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCIAMENTO VEICULOS RESP LIMITADA,,,Taruma Fundo de Investimento em Direitos Creditorios Financiamento de Veiculos de Resp Limitada,,,
TAURUS FIC FIDC NP,,,,TAURUS FIC FIDC NP - ÚNICA,,
TAYA FGTS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,TAYA FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS  RESPONSABILIDADE LIMITADA,
TCC,TCC - Transmissora Caminho do Cafe S.A.,,,,,
TCJUS I FIDC NP,,,,TCJUS I FIDC NP - SUBORDINADAS JÚNIOR,,
TECNOLOGIA BANCARIA,,,Tecnologia Bancaria S.A.,,,51427102000129
TECNOLOGIA PARTICIPACOES,,,Brasil Tecnologia E Participacoes S.A.,,,35764708000101
TECNOMYL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TECNOMYL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
TECP,TECP - Transmissora de Energia Central Paulistana S.A.,,,,,
TEGMA GESTAO LOGISTICA,Tegma Gestao Logistica S.A.,,,,,02351144000118
TELEFONICA,Telefonica Brasil S.A.,Telefônica Brasil S.A.,Telefonica Brasil S.A.,,,02558157000162
TERA PERFORMANCE FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL LP,,,,,TERA PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL LP,
TEREOS ACUCAR ENERGIA,,,Tereos Acucar & Energia Brasil SA,,,47080619000117
TERP GLBL I PARTICIPACOES,,TERP GLBL Brasil I Participações S.A.,,,,21748188000120
TERRA NOVA FIDC,,,,TERRA NOVA FIDC - SUBORDINADAS JÚNIOR,,
TERRA NOVA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TERRA NOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TERRENOS HOLDING,,,Brasil Terrenos Holding S.A.,,,20961867000110
TESC,TESC -Terminal Santa Catarina S.A.,,,,,
TG SPECIALE FIC FIDC,,,,TG SPECIALE FIC FIDC - ÚNICA,,
TGR SUBHOLDING 4,TGR Subholding 4 S.A.,,,,,
TGR SUBHOLDING 7,TGR Subholding 7 S.A.,,,,,
THOPEN ENERGIA,,Thopen Energia S.A. (sucessora da RZK Energia S.A.),,,,28133664000148
THOPEN SOLAR 02,,Thopen Solar 02 S.A. (sucessora da RZK Solar 02 S.A.),,,,
THOPEN SOLAR 07,Thopen Solar 07 S.A,Thopen Solar 07 S.A. (sucessora da RZK Solar 07 S.A.),,,,
THOPEN SOLAR 10,,Thopen Solar 10 S.A.,,,,49408882000118
THOPEN SOLAR 12 SPE,,Thopen Solar 12 SPE S.A.,,,,50513224000175
THOPEN SOLAR 55 SPE,,Thopen Solar 55 SPE S.A.,,,,53074942000180
TIBAGI ENERGIA SPE,Tibagi Energia SPE S.A.,,,,,
TIETE EOLICA,Tiete Eolica S.A.,,,,,
TIGRE PARTICIPACOES,,,Tigre S.A. Participacoes,,,84684455000163
TIM,TIM S.A.,,,,,02421421000111
TIM SERVICOS PARTICIPACOES,TIM Brasil Servicos e Participacoes S.A.,,,,,02600854000134
TITAN FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TITAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TIVIO CAPITAL DTVM,,,Tivio Capital DTVM S.A.,,,03384738000198
TMB CONSIGNADOS FIDC,,,,TMB CONSIGNADOS FIDC - SUBORDINADAS JÚNIOR,,
TMJ FIDC,,,,TMJ FIDC - ÚNICA,,
TMOV FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TMOV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TOKIO MARINE SEGURADORA,,Tokio Marine Seguradora S.A.,,,,33164021000100
TOP SERVICE SERVICOS SISTEMAS,,Top Service Serviços e Sistemas S.A.,,,,00973749000115
TOPCRED,,,,,TOPCRED - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TOPCRED FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TOPCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TORQI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TORQI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TOTALENERGIES DRACENA PARTICIPACOES,Totalenergies Dracena Participacoes S.A.,,,,,
TOTVS,TOTVS S.A.,,,,,53113791000122
TPE,TPE - Transmissora Paraiso de Energia SA,,,,,
TRACADO FIDC,,,,TRAÇADO FIDC - SUBORDINADAS MEZANINO,,
TRADEMASTER III FIDC RECEBIVEIS COMERCIAIS,Trademaster III FIDC Recebiveis Comerciais - Responsabilidade Limitada,,,,,
TRANSENERGIA RENOVAVEL,,Transenergia Renovável S.A.,,,,10553895000145
TRANSENERGIA SAO PAULO,,Transenergia São Paulo S.A.,,,,10997565000149
TRANSFORMA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,TRANSFORMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
TRANSMISSORA ALIANCA ENERGIA ELETRICA,Transmissora Alianca de Energia Eletrica S.A.,Transmissora Aliança de Energia Elétrica S.A. (TAESA),,,,07859971000130
TRANSMISSORA JOSE MARIA MACEDO ELETRICIDADE,Transmissora Jose Maria de Macedo de Eletricidade S.A.,,,,,21728083000100
TRANSMISSORA SP,Transmissora SP-MG S.A.,,,,,
TRANSPORTADORA ASSOCIADA GAS,Transportadora Associada de Gas S.A. - TAG,Transportadora Associada de Gás S.A. - TAG,,,,06248349000123
TRAVELEX BANCO CAMBIO,Travelex Banco de Cambio S.A.,,,,,
TRAVESSIA SECURITIZADORA,,,,TRAVESSIA SECURITIZADORA LTDA. - 1ª SÉRIE,,26609050000164
TRAVESSIA SECURITIZADORA CREDITOS FINANCEIROS,,"Travessia Securitizadora de Creditos Financeiros S.A. – 1ª, 2ª, 3ª, 4ª, 5ª e 6ª Series da 20ª Emissao de Debêntures (C6 Bank)",Travessia Securitizadora de Creditos Financeiros S.A.,,,38042694000100
TRES TENTOS AGROINDUSTRIAL,,,Tres Tentos Agroindustrial S.A.,,,94813102000170
TREVISO FIDC,,,,TREVISO FIDC - SUBORDINADAS JÚNIOR,,
TREVYS FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,,,,,Trevys Fundo de Investimentos em Direitos Creditórios,
TRIGONO CAPITAL,,Trígono Capital Ltda.,,,,28925400000127
TRIPOLI FIDC NP,,,,TRIPOLI FIDC NP - SUBORDINADAS MEZANINO,,
TRISUL,,,Trisul S.A.,,,08811643000127
TROPICALIA TRANSMISSORA ENERGIA,,Tropicália Transmissora de Energia S.A.,,,,24870139000154
TRSP,TRSP - Terminal de Regaseificacao de GNL de Sao Paulo S.A,,,,,
TRUE SECURITIZADORA,,True Securitizadora S.A - Série Única da 50ª Emissão de CRIs (Risco São Carlos),True Securitizadora S.A.,TRUE SECURITIZADORA - RISCO PULVERIZADO (143ª SÉRIE - 1ª EMISSÃO),True Securitizadora S.A,12130744000100
TRUST FIDC,,,,TRUST FIDC - SUBORDINADAS JÚNIOR,,
TRUSTHUB SECURITIZADORA 2022,Trusthub Securitizadora 2022-2 (Debenture SRM),,,,,02.211.906/0001-80
TRX FIDC CORPORATIVO I,,,,TRX FIDC CORPORATIVO I - SENIORES ÚNICA,,
TRX SECURITIZADORA,,TRX Securitizadora S.A. - 13ª Série da 1ª Emissão de CRIs (Risco Ambev),,,,11716471000117
TSB FIDC NP,,,,TSB FIDC NP - SENIORES 1ª SÉRIE,,
TSM,TSM -Transmissora Serra da Mantiqueira S.A.,,,,,
TUCANO HOLDING II,,Tucano Holding II S.A.,,,,34623550000189
TUCANO HOLDING III,Tucano Holding III S.A.,,,,,
TULIPA CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,Tulipa Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,
TUPI ENERGIAS RENOVAVEIS,Tupi Energias Renovaveis S.A.,,,,,59115685000164
TUPY,Tupy S.A.,,Tupy S.A.,,,84683374000149
U.NIC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,U.NIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
UA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,UA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
UA FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,UA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,
UBYFOL AGRO FIDC,,,,UBYFOL AGRO FIDC - SENIORES 1ª SÉRIE,,
UBYFOL AGRO FUNDO INVESTIMENTO DIREITOS CREDITORIOS III,,,,,UBYFOL AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS III,
UBYFOL AGRO III FIDC,,,,UBYFOL AGRO III FIDC - SUBORDINADAS JÚNIOR,,
UHE SAO SIMAO ENERGIA,UHE Sao Simao Energia S.A.,,UHE Sao Simao Energia S.A.,,,27352303000120
ULTRACARGO LOGISTICA,,Ultracargo Logística S.A.,,,,14688220001640
ULTRAFERTIL,Ultrafertil S.A.,,Ultrafertil S.A.,,,02476026000136
ULTRAPAR PARTICIPACOES,,Ultrapar Participações S.A.,Ultrapar Participacoes S.A.,,,33256439000139
UNIAO QUIMICA FARMACEUTICA NACIONAL,Uniao Quimica Farmaceutica Nacional S.A.,,,,,60665981000118
UNIDAS LOCACOES SERVICOS,Unidas Locacoes E Servicos S/A,Unidas Locações e Serviços S.A.,,,,75609123000123
UNIDAS LOCADORA,,Unidas Locadora S.A.,,,,45736131000170
UNIFIQUE TELECOMUNICACOES,,,Unifique Telecomunicacoes S.A.,,,02255187000108
UNIPAR CARBOCLORO,Unipar Carbocloro S.A.,,,,,33958695000178
UNIPRIME IGUACU,,"Uniprime do Iguaçu – Cooperativa de Crédito, Poupança e Investimento",,,,01848322000158
UNIPRIME PIONEIRA COOPERATIVA CREDITO,,Uniprime Pioneira Cooperativa de Crédito,,,,01286361000109
UP.P II FIDC,,,,UP.P II FIDC - MEZANINO CLASSE A,,
URBE FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL LP,,,,,Urbe Fundo de Investimento em Direitos Creditórios Multissetorial LP,
URBELUZ ENERGETICA,,Urbeluz Energética S.A.,,,,
URUS FIDC,,,,URUS FIDC - SUBORDINADAS JÚNIOR,,
USECORP CATALISE FIDC,,,,USECORP CATÁLISE FIDC - SUBORDINADAS JÚNIOR,,
USIMINAS INTERNATIONAL R.L.,Usiminas International S.a r.l.,,,,,
USINA BATATAIS,,,Usina Batatais SA - Acucar e Alcool,,,54470679000101
USINA SANTA ADELIA,,,Usina Santa Adelia S.A.,,,50376938000189
USINA SAO JOSE ESTIVA ACUCAR ALCOOL,,,Usina Sao Jose da Estiva S/A Acucar e Alcool,,,53172300000114
USINA TERMELETRICA PAMPA SUL,Usina Termeletrica Pampa Sul S.A.,,Usina Termeletrica Pampa Sul S.A.,,,04739720000124
USINAS ITAMARATI,,,Usinas Itamarati S.A.,,,15009178000170
USINAS SIDERURGICAS MINAS GERAIS,Usinas Siderurgicas de Minas Gerais S.A. (Usiminas),Usinas Siderúrgicas de Minas Gerais S.A. - Usiminas,Usinas Siderurgicas de Minas Gerais S.A.,,,17157850000443
UTE GNA I GERACAO ENERGIA,,,UTE GNA I Geracao de Energia S.A.,,,23449511000190
UTE GNA II GERACAO ENERGIA,UTE Gna II Geracao de Energia S.A.,,,,,
V. C. M. GESTAO CAPITAL,,,,V. C. M. GESTÃO DE CAPITAL LTDA.,,
V.TAL REDE NEUTRA TELECOMUNICACOES,,,V.Tal Rede Neutra e Telecomunicacoes S.A.,,,02.041.460/0001-93
V2I ENERGIA,V2i Energia S.A.,,,,,
VALE,Vale S.A.,Vale S.A.,Vale S.A.,,,33592510000154
VALE TIJUCO ACUCAR ALCOOL,,,Vale do Tijuco Acucar e Alcool S.A.,,,08493354000127
VALECRED FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,VALECRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
VALECRED FUNDO INVESTIMENTO DIREITOS CREDITORIOS LP,,,,,VALECRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LP,
VALID SOLUCOES,,Valid Soluções S.A.,,,,33113309000147
VALORA VANGUARD FIC FIDC,,,,VALORA VANGUARD FIC FIDC - ÚNICA,,
VALOREM FIDC,,,,VALOREM FIDC - SUBORDINADAS MEZANINO XVI,,
VALOREM PLUS FIDC NP,,,,VALOREM PLUS FIDC NP - SUBORDINADAS JÚNIOR,,
VALORTEC FIDC,,,,VALORTEC FIDC - SUBORDINADAS JÚNIOR,,
VALORTEC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,VALORTEC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
VALYOS FUNDO INVESTIMENTOS DIREITOS CREDITORIOS IMOBILIARIOS,,,,,VALYOS Fundo de Investimentos Em Direitos Creditorios Imobiliarios,
VAMOS LOCACAO CAMINHOES,"Vamos Locacao de Caminhoes, Maquinas e Equipamentos S.A.","Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.","Vamos Locacao de Caminhoes, Maquinas e Equipamentos S.A.",,,23373000000132
VANGUARD I FIDC NP,,,,VANGUARD I FIDC NP - SUBORDINADAS JÚNIOR,,
VDB F2 GERACAO ENERGIA,VDB F2 Geracao de Energia S.A.,,,,,
VECTOR FIDC NP,,,,VECTOR FIDC NP - SUBORDINADAS JÚNIOR,,
VECTOR FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,VECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,
VECTOR FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL,,,,,VECTOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,
VEGA FIDC,,,,VEGA FIDC - SUBORDINADAS JÚNIOR,,
VELEIROS HOLDINGS,Veleiros Holdings S.A.,,,,,
