dt_captura,no_emissor,no_setor,link
2026-09-25,ATLANTA FIDC MULTISSETORIAL - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/769/Atlanta_FIDC_Multissetorial_-_Seniores_1ª_série
2026-09-25,ATLÂNTICO FIDC NP - ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3632/Atlântico_FIDC_NP_-_Única_
2026-09-25,ATLAS FIDC NP - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3431/Atlas_FIDC_NP_-_Seniores_2ª_série
2026-09-25,ATLAS FIDC NP   - MEZANINO CLASSE A,FIDCs,https://www.austin.com.br/Historico-Rating/1921/Atlas_FIDC_NP___-_Mezanino_Classe_A_
2026-09-25,ATLAS HUB II FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/5139/Atlas_Hub_II_FIDC_-_Seniores_Única
2026-09-25,ATLAS HUB III FIDC - SUBORDINADAS PREFERENCIAIS,FIDCs,https://www.austin.com.br/Historico-Rating/5244/Atlas_Hub_III_FIDC_-_Subordinadas_Preferenciais_
2026-09-25,ATLAS HUB III FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/5243/Atlas_Hub_III_FIDC_-_Seniores_Única
2026-09-25,AUTO LOANS FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4653/AUTO_LOANS_FIDC_-_Subordinadas_Júnior_
2026-09-25,AUTO LOANS FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4652/AUTO_LOANS_FIDC_-_Subordinadas_Mezanino_
2026-09-25,AUTO LOANS FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4651/AUTO_LOANS_FIDC_-_Seniores_Única
2026-09-25,AUTOMOTIVO FIDC - ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3080/Automotivo_FIDC_-_Única_
2026-09-25,AXIS RENOVÁVEIS FIDC  - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/3556/Axis_Renováveis_FIDC__-_Subordinadas_
2026-09-25,AXIS RENOVÁVEIS FIDC  - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3555/Axis_Renováveis_FIDC__-_Seniores_Única
2026-09-25,AZURE CONSIGNADO FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4828/Azure_Consignado_FIDC_-_Seniores_Única
2026-09-25,AZURE CONSIGNADO FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4824/Azure_Consignado_FIDC_-_Subordinadas_Mezanino_
2026-09-25,AZURE CONSIGNADO FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4823/Azure_Consignado_FIDC_-_Seniores_Única
2026-09-25,B4 TRUST FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4805/B4_Trust_FIDC_-_Subordinadas_Mezanino_
2026-09-25,B4 TRUST FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4804/B4_Trust_FIDC_-_Seniores_Única
2026-09-25,B7 FIDC NP - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4808/B7_FIDC_NP_-_Subordinadas_Mezanino_
2026-09-25,B7 FIDC NP - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4807/B7_FIDC_NP_-_Subordinadas_Júnior_
2026-09-25,B7 FIDC NP - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4806/B7_FIDC_NP_-_Seniores_Única
2026-09-25,BACKSTAGE FIDC NP - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4471/Backstage_FIDC_NP_-_Subordinadas_Júnior_
2026-09-25,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,Bancos,https://www.austin.com.br/Historico-Rating/4367/Banco_Bari_de_Investimentos_e_Financiamentos_SA_
2026-09-25,BANCO BRADESCO,Governança Corporativa,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,BANCO SEMEAR S/A,Bancos,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,BARI COMPANHIA HIPOTECÁRIA,Cias Hipotecárias,https://www.austin.com.br/Historico-Rating/5179/Bari_Companhia_Hipotecária
2026-09-25,BARU FIDC - SENIORES 9ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/5056/Baru_FIDC_-_Seniores_9ª_série
2026-09-25,BASE SECURITIZADORA - RISCO VALE (10ª SÉRIE - 1ª EMISSÃO),CRIs,https://www.austin.com.br/Historico-Rating/3933/Base_Securitizadora_-_Risco_Vale_(10ª_Série_-_1ª_Emissão)
2026-09-25,BASSO FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3375/Basso_FIDC_-_Subordinadas_Júnior_
2026-09-25,BASSO FIDC - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3374/Basso_FIDC_-_Seniores_2ª_série
2026-09-25,BAVIERA FIDC - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/2741/Baviera_FIDC_-_Seniores_1ª_série
2026-09-25,BBIF MASTER FIDC - ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4612/BBIF_Master_FIDC_-_Única_
2026-09-25,BCR FIDC - SENIORES 6ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3339/BCR_FIDC_-_Seniores_6ª_série
2026-09-25,BCR FIDC - SENIORES 5ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3137/BCR_FIDC_-_Seniores_5ª_série
2026-09-25,BCR FIDC - SENIORES 4ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3136/BCR_FIDC_-_Seniores_4ª_série
2026-09-25,BCR FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2352/BCR_FIDC_-_Subordinadas_Júnior_
2026-09-25,BCR FIDC - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/2350/BCR_FIDC_-_Seniores_2ª_série
2026-09-25,BCR FIDC - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/2248/BCR_FIDC_-_Subordinadas_
2026-09-25,BENFICA FIDC  - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/1730/Benfica_FIDC__-_Subordinadas_
2026-09-25,BENVAL FIDC - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/1596/Benval_FIDC_-_Subordinadas_
2026-09-25,BEX FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4424/BEX_FIDC_-_Subordinadas_Júnior_
2026-09-25,BEX FIDC - SUBORDINADAS MEZANINO II,FIDCs,https://www.austin.com.br/Historico-Rating/4423/BEX_FIDC_-_Subordinadas_Mezanino_II_
2026-09-25,BEX FIDC - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4422/BEX_FIDC_-_Seniores_1ª_série
2026-09-25,BEX FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4343/Bex_FIDC_-_Subordinadas_Mezanino_
2026-09-25,BEX FIDC - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4342/Bex_FIDC_-_Seniores_3ª_série
2026-09-25,BFC FIDC - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/1820/BFC_FIDC_-_Subordinadas_
2026-09-25,BMA FIDC - SUBORDINADAS MEZANINO II,FIDCs,https://www.austin.com.br/Historico-Rating/3498/BMA_FIDC_-_Subordinadas_Mezanino_II_
2026-09-25,BMA FIDC - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3304/BMA_FIDC_-_Seniores_3ª_série
2026-09-25,BMA INTER FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3586/BMA_Inter_FIDC_-_Subordinadas_Júnior_
2026-09-25,BMA INTER FIDC - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3585/BMA_Inter_FIDC_-_Seniores_1ª_série
2026-09-25,BNDESPAR XP ONE7 FIDC  - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3725/BNDESPAR_XP_One7_FIDC__-_Seniores_Única
