emissor,cnpj,razao_rfb,razao_cvm,status,obs
ITU FIC FIDC,11888461000169,ITU FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,,⚠️,match parcial (1/2 palavras) (RFB)
IBIUNA MACRO GESTAO RECURSOS,11918575000104,IBIUNA MACRO GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
STATE GRID BRAZIL HOLDING,11938558000139,STATE GRID BRAZIL HOLDING S.A.,,✅,match exato (RFB)
BANCO SENFF,11970623000103,BANCO SENFF S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL MASTER II,11989256000190,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER II,,✅,match exato (RFB)
QUALICORP CONSULTORIA CORRETORA SEGUROS,11992680000193,QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,,✅,match exato (RFB)
ARAUCARIA SANEAMENTO,12049167000126,ARAUCARIA SANEAMENTO S.A.,,✅,match exato (RFB)
MOURA DUBEUX ENGENHARIA,12049631000184,MOURA DUBEUX ENGENHARIA S/A,,✅,match exato (RFB)
BRAVA ENERGIA,12091809000155,BRAVA ENERGIA S.A,,✅,match exato (RFB)
ONCOCLINICAS SERVICOS MEDICOS,12104241000402,ONCOCLINICAS DO BRASIL SERVICOS MEDICOS S.A.,,✅,match exato (RFB)
TRUE SECURITIZADORA,12130744000100,TRUE ADMINISTRADORA FIDUCIARIA DE GARANTIAS LTDA,,⚠️,match parcial (substring leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISETORIAL MASTER III,12138813000121,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL MASTER III,,✅,match exato (RFB)
OCTANTE SECURITIZADORA 2021,12.139.922/0001-63,OCTANTE SECURITIZADORA S.A,,✅,match exato (sem sufixo) (RFB)
MELNICK DESENVOLVIMENTO IMOBILIARIO,12181987000177,MELNICK DESENVOLVIMENTO IMOBILIARIO S.A.,,✅,match exato (RFB)
ALAGOAS,12.200.176/0001-76,ESTADO DE ALAGOAS,,✅,match exato (leniente) (RFB)
ESTADO ALAGOAS,12200176000176,ESTADO DE ALAGOAS,,✅,match exato (RFB)
RIZA GESTORA RECURSOS,12209584000199,RIZA  AGRONEGOCIO GESTORA DE RECURSOS LTDA.,,⚠️,match parcial (2/2 palavras) (RFB)
USINA CORURIPE ACUCAR ALCOOL,12229415000110,S A USINA CORURIPE ACUCAR E ALCOOL,,✅,match exato (RFB)
EQUATORIAL ALAGOAS DISTRIBUIDORA ENERGIA,12272084000100,EQUATORIAL ALAGOAS DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
NORTE ENERGIA,12300288000107,NORTE ENERGIA S/A,,✅,match exato (RFB)
BRVIAS HOLDING VRD,12321274000161,BRVIAS HOLDING VRD S.A.,,✅,match exato (RFB)
SPX GESTAO RECURSOS,12330774000160,SPX GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
CM HOSPITALAR,12420164000157,CM HOSPITALAR S.A.,,✅,match exato (RFB)
AERIS INDUSTRIA COMERCIO EQUIPAMENTOS PARA GERACAO ENERGIA,12528708000107,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,,✅,match exato (RFB)
VLI,12563794000180,VLI S.A.,,✅,match exato (RFB)
MNLT,12592831000189,MNLT S.A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS GOAL ONE,12610459000196,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS GOAL ONE,,✅,match exato (RFB)
AMBIPAR LUX R.L.,12648266000124,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A.,,⚠️,match parcial (substring leniente) (RFB)
AMBIPAR PARTICIPACOES EMPREENDIMENTOS,12648266000124,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S.A.,,✅,match exato (RFB)
HIDROVIAS,12648327000153,HIDROVIAS DO BRASIL S.A.,,✅,match exato (RFB)
RNX FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL RESPONSABILIDADE LIMITADA,12813212000177,RNX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS,12960213000144,CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S.A.,,✅,match exato (RFB)
GENERAL SHOPPING FINANCE,12969922000190,GENERAL SHOPPING FINANCE LIMITED,,✅,match exato (RFB)
BANCO ESTADO SERGIPE,13009717000146,BANCO DO ESTADO DE SERGIPE S/A,,✅,match exato (RFB)
ENERGISA SERGIPE,13017462000163,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A,,✅,match exato (RFB)
J.P. MORGAN ADMINISTRADORA CARTEIRAS,13037786000163,J.P. MORGAN ADMINISTRADORA DE CARTEIRAS BRASIL LTDA.,,✅,match exato (RFB)
SERGIPE,13.128.798/0001-01,ESTADO DE SERGIPE,,✅,match exato (leniente) (RFB)
BAHIA AM RENDA VARIAVEL,13143849000166,BAHIA AM RENDA VARIAVEL LTDA.,,✅,match exato (RFB)
BAHIA AM RENDA FIXA,13151244000117,BAHIA AM RENDA FIXA LTDA.,,✅,match exato (RFB)
GRUPO SBF,13217485000111,GRUPO SBF S.A.,,✅,match exato (RFB)
BR PARTNERS BANCO INVESTIMENTO,13220493000117,BR PARTNERS BANCO DE INVESTIMENTO S.A.,,✅,match exato (RFB)
KORA SAUDE PARTICIPACOES,13270520000166,KORA SAUDE PARTICIPACOES S.A,,✅,match exato (RFB)
VINCI SOLUCOES INVESTIMENTOS,13421810000163,VINCI SOLUCOES DE INVESTIMENTOS LTDA,,✅,match exato (RFB)
EMPRESA BAIANA AGUAS SANEAMENTO,13504675000110,EMPRESA BAIANA DE AGUAS E SANEAMENTO SA,,✅,match exato (RFB)
DELTA SUCROENERGIA,13537735000109,DELTA SUCROENERGIA S.A,,✅,match exato (RFB)
AGROTERENAS ADMINISTRACAO PARTICIPACOES,13553385000166,AGROTERENAS S.A. - ADMINISTRACAO E PARTICIPACOES,,✅,match exato (leniente) (RFB)
ZAMP,13574594000196,ZAMP S.A.,,✅,match exato (RFB)
AGRO INDUSTRIAS VALE SAO FRANCISCO,13642699000135,AGRO INDUSTRIAS DO VALE DO SAO FRANCISCO SA AGROVALE,,⚠️,match parcial (substring leniente) (RFB)
QMC TELECOM CESSAO INFRAESTRUTURA,13733490000187,QMC TELECOM DO BRASIL CESSAO DE INFRAESTRUTURA S.A.,,✅,match exato (RFB)
MADERO INDUSTRIA COMERCIO,13783221000478,MADERO INDUSTRIA E COMERCIO S.A.,,✅,match exato (RFB)
CONCESSIONARIA ROTA ATLANTICO,13799190000109,CONCESSIONARIA ROTA DO ATLANTICO S.A.,,✅,match exato (RFB)
GERADORA EOLICA BONS VENTOS SERRA I,14080223000110,GERADORA EOLICA BONS VENTOS DA SERRA I S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS SIFRA STAR,14166140000149,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SIFRA STAR,,✅,match exato (RFB)
INDIE CAPITAL INVESTIMENTOS,14359791000155,INDIE CAPITAL INVESTIMENTOS LTDA,,✅,match exato (RFB)
PARANA BANCO,14388334000199,PARANA BANCO S/A,,✅,match exato (RFB)
BARUERI ENERGIA RENOVAVEL,14641895000158,BARUERI ENERGIA RENOVAVEL S.A.,,✅,match exato (RFB)
ULTRACARGO LOGISTICA,14688220001640,ULTRACARGO LOGISTICA S.A.,,✅,match exato (RFB)
ADYEN INSTITUICAO PAGAMENTO,14796606000190,ADYEN DO BRASIL INSTITUICAO DE PAGAMENTO LTDA.,,✅,match exato (RFB)
AKAD SEGUROS,14868712000131,AKAD SEGUROS S.A.,,✅,match exato (RFB)
MULTIPLIKE SECURITIZADORA 2024,14955141000172,MULTIPLIKE SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
J. MACEDO,14998371000119,J MACEDO S/A,,⚠️,match parcial (1/1 palavras) (RFB)
USINAS ITAMARATI,15009178000170,USINAS ITAMARATI S/A,,✅,match exato (RFB)
SOFTPLAN,15087394000134,SOFTPLAN S/A,,✅,match exato (RFB)
BANCO BOCOM BBM,15114366000169,BANCO BOCOM BBM S.A.,,✅,match exato (RFB)
CORREDOR LOGISTICA INFRAESTRUTURA,15114494000102,CORREDOR LOGISTICA E INFRAESTRUTURA S.A.,,✅,match exato (RFB)
SAO GABRIEL SANEAMENTO,15186494000118,SAO GABRIEL SANEAMENTO S.A,,✅,match exato (RFB)
FIDC IV ENERGISA CENTRO OESTE,15254301000119,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS IV ENERGISA CENTRO OESTE,,⚠️,match parcial (substring leniente) (RFB)
GENERAL SHOPPING INVESTMENT,15256056000189,GENERAL SHOPPING INVESTMENTS LIMITED,,⚠️,match parcial (substring leniente) (RFB)
MATRINCHA TRANSMISSORA ENERGIA,15286382000139,MATRINCHA TRANSMISSORA DE ENERGIA (TP NORTE) S.A.,,✅,match exato (RFB)
XP ADVISORY GESTAO RECURSOS,15289957000177,XP ADVISORY GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
EQUIPAV SANEAMENTO,15385166000140,EQUIPAV SANEAMENTO S.A.,,✅,match exato (RFB)
NOVUS CAPITAL GESTORA RECURSOS,15388425000197,NOVUS CAPITAL GESTORA DE RECURSOS LTDA,,✅,match exato (RFB)
ESTADO MATO GROSSO SUL,15412257000128,ESTADO DE MATO GROSSO DO SUL,,✅,match exato (RFB)
ENERGISA MATO GROSSO SUL,15413826000150,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
ITR COMERCIO PNEUS PECAS,15426874000182,ITR COMERCIO DE PNEUS E PECAS S.A.,,✅,match exato (RFB)
ALSOL ENERGIAS RENOVAVEIS,15483161000150,ALSOL ENERGIAS RENOVAVEIS S/A,,✅,match exato (RFB)
ECO101 CONCESSIONARIA RODOVIAS,15484093000144,ECO101 CONCESSIONARIA DE RODOVIAS S/A,,✅,match exato (RFB)
VENTOS SAO CLEMENTE HOLDING,15674688000162,VENTOS DE SAO CLEMENTE HOLDING S.A,,✅,match exato (RFB)
SUZANO,16404287000155,SUZANO S.A.,,✅,match exato (RFB)
PORTO SEGURO INVESTIMENTOS,16492391000149,PORTO SEGURO INVESTIMENTOS LTDA,,✅,match exato (RFB)
MONGERAL AEGON INVESTIMENTOS,16500294000150,MONGERAL AEGON INVESTIMENTOS LTDA,,✅,match exato (RFB)
STONE INSTITUICAO PAGAMENTO,16501555000157,STONE INSTITUICAO DE PAGAMENTO S.A,,✅,match exato (RFB)
DM INSTITUICAO PAGAMENTO,16581207000137,DM INSTITUICAO DE PAGAMENTO S.A.,,✅,match exato (RFB)
AZZAS 2154,16590234000176,AZZAS 2154 S.A,,✅,match exato (RFB)
DIRECIONAL ENGENHARIA,16614075000100,DIRECIONAL ENGENHARIA S/A,,✅,match exato (RFB)
CIMED CO.,16619378000108,CIMED & CO. S.A.,,✅,match exato (RFB)
SAMARCO MINERACAO,16628281000161,SAMARCO MINERACAO S.A.,,✅,match exato (RFB)
LOCALIZA RENT CAR,16670085000155,LOCALIZA RENT A CAR SA,,✅,match exato (RFB)
HOSPITAL MATER DEI,16676520000159,HOSPITAL MATER DEI S.A.,,✅,match exato (RFB)
XP VISTA ASSET MANAGEMENT,16789525000198,XP VISTA ASSET MANAGEMENT LTDA.,,✅,match exato (RFB)
XP INVESTIMENTOS,16838421000126,XP INVESTIMENTOS S/A,,✅,match exato (RFB)
COMPANHIA ENERGETICA MINAS GERAIS,17155730000164,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,,✅,match exato (RFB)
USINAS SIDERURGICAS MINAS GERAIS,17157850000443,USINAS SIDERURGICAS DE MINAS GERAIS S.A. - USIMINAS,,✅,match exato (RFB)
BANCO MERCANTIL,17184037000110,BANCO MERCANTIL DO BRASIL SA,,✅,match exato (RFB)
BANCO DESENVOLVIMENTO MINAS GERAIS,17232422000195,BANCO DE DESENVOLVIMENTO DE MINAS GERAIS,,✅,match exato (RFB)
EMPIRICA SOBERANO,17249303000145,EMPIRICA SOBERANO FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,,⚠️,match parcial (substring leniente) (RFB)
RED FUNDO INVESTIMENTO DIREITOS CREDITORIOS REAL LP RESPONSABILIDADE LIMITADA,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS REAL LP DE RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
SOLIS INVESTIMENTOS,17254708000171,SOLIS INVESTIMENTOS S.A,,✅,match exato (RFB)
COMPANHIA SANEAMENTO MINAS GERAIS,17281106000103,COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,,⚠️,match parcial (substring leniente) (RFB)
COMPANHIA SANEAMENTO MINAS GERAIS COPASA MG,17281106000103,COMPANHIA DE SANEAMENTO DE MINAS GERAIS COPASA MG,,✅,match exato (RFB)
INTERNATIONAL MEAL COMPANY ALIMENTACAO,17314329000120,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,,✅,match exato (RFB)
BANCO TRIANGULO,17351180000159,BANCO TRIANGULO S/A,,✅,match exato (RFB)
ICBC BANCO MULTIPLO,17453575000162,ICBC DO BRASIL BANCO MULTIPLO S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS LF I,17474548000176,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS LF I - SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
GRUPO SALTA EDUCACAO,17765891000170,GRUPO SALTA EDUCACAO S/A,,✅,match exato (RFB)
OZN HEALTH SPE,18080368000172,OZN HEALTH SPE S.A,,✅,match exato (RFB)
HDI GLOBAL SEGUROS,18096627000153,HDI GLOBAL SEGUROS S.A.,,✅,match exato (RFB)
CLOUDWALK INSTITUICAO PAGAMENTO SERVICOS,18189547000142,CLOUDWALK INSTITUICAO DE PAGAMENTO E SERVICOS LTDA,,✅,match exato (RFB)
RBR GESTAO RECURSOS,18259351000187,PATRIA GESTAO DE RECURSOS LTDA,,⚠️,match parcial (2/3 palavras) (RFB)
OXY COMPANHIA HIPOTECARIA,18282093000150,OXY COMPANHIA HIPOTECARIA S.A.,,✅,match exato (RFB)
FIDC BB VOTORANTIM HIGHLAND INFRAESTRUTURA RL,18289873000121,FUNDO DE INVEST. EM DIR. CREDITORIOS BB VOTORANTIM HIGHLAND INFRAESTRUTURA RESPONSABILIDADE LIMITADA,,⚠️,match parcial (4/5 palavras) (RFB)
PET CENTER COMERCIO PARTICIPACOES,18328118000109,PET CENTER COMERCIO E PARTICIPACOES S.A.,,✅,match exato (RFB)
IBIUNA ACOES GESTAO RECURSOS,18506057000122,IBIUNA ACOES GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
MAGNUM PARTNERS,18527845000103,MAGNUM PARTNERS S/A,,✅,match exato (RFB)
REAG ASSET MANAGEMENT,18606232000153,REAG ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
FORTBRASIL SECURITIZADORA,18678502000131,FORTBRASIL SECURITIZADORA S.A,,✅,match exato (RFB)
HOLDING ARAGUAIA,18903785000178,HOLDING DO ARAGUAIA S.A.,,✅,match exato (RFB)
ENEL GREEN POWER MANICOBA EOLICA,19011479000190,ENEL GREEN POWER MANICOBA EOLICA S.A.,,✅,match exato (RFB)
CHINA THREE GORGES ENERGIA,19014221000147,CHINA THREE GORGES BRASIL ENERGIA S.A.,,✅,match exato (RFB)
EDGE COMERCIALIZACAO,19046324000199,EDGE COMERCIALIZACAO S.A.,,✅,match exato (RFB)
COPEL SERVICOS,19126003000102,COPEL SERVICOS S.A.,,✅,match exato (RFB)
QI PARTICIPACOES,19178558000190,QI PARTICIPACOES LTDA,,✅,match exato (RFB)
ECO050,19208022000170,ECO050 - CONCESSIONARIA DE RODOVIAS S.A.,,✅,match exato (RFB)
ECO050 CONCESSIONARIA RODOVIAS,19208022000170,ECO050 - CONCESSIONARIA DE RODOVIAS S.A.,,✅,match exato (leniente) (RFB)
EMCCAMP RESIDENCIAL,19403252000190,EMCCAMP RESIDENCIAL S.A.,,✅,match exato (RFB)
DAYCOVAL SEGUROS,19486258000178,DAYCOVAL SEGUROS S.A.,,✅,match exato (RFB)
IBIUNA CREDITO GESTAO RECURSOS,19493000000107,IBIUNA CREDITO GESTAO DE RECURSOS LTDA.,,✅,match exato (RFB)
CONCESSIONARIA ROTA OESTE,19521322000104,CONCESSIONARIA ROTA DO OESTE S.A.,,✅,match exato (RFB)
ENERGISA MINAS RIO,19527639000158,ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
CALANGO 6 ENERGIA RENOVAVEL,19560837000113,CALANGO 6 ENERGIA RENOVAVEL S.A.,,✅,match exato (RFB)
CONCESSIONARIA RODOVIA SUL,19642306000170,CONCESSIONARIA DE RODOVIA SUL - MATOGROSSENSE S.A,,✅,match exato (RFB)
MATA SANTA GENEBRA TRANSMISSAO,19699063000106,MATA DE SANTA GENEBRA TRANSMISSAO S.A.,,✅,match exato (RFB)
VERDE 08 ENERGIA,19729992000110,VERDE 08 ENERGIA S.A.,,✅,match exato (RFB)
VDB F2 GERACAO ENERGIA,19788923000188,VDB F2 GERACAO DE ENERGIA S.A.,,✅,match exato (RFB)
GERADORA EOLICA BONS VENTOS SERRA 2,19953139000188,GERADORA EOLICA BONS VENTOS DA SERRA 2 S.A.,,✅,match exato (RFB)
FS INDUSTRIA BIOCOMBUSTIVEIS,20003699001122,FS INDUSTRIA DE BIOCOMBUSTIVEIS LTDA,,✅,match exato (RFB)
STARK BANK,20018183000180,STARK BANK S.A. - INSTITUICAO DE PAGAMENTO,,✅,match exato (RFB)
RIO OIL FINANCE TRUST,20303800000199,RIO OIL FINANCE TRUST,,✅,match exato (RFB)
FLOWINVEST FUNDO INVESTIMENTO DIREITOS CREDITORIOS,20460014000103,FLOWINVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
CHAPADA PIAUI I HOLDING,20512213000100,CHAPADA DO PIAUI I HOLDING S.A.,,✅,match exato (RFB)
VITRU EDUCACAO,20512706000140,VITRU EDUCACAO S.A.,,✅,match exato (RFB)
NEXA RESOURCES,20679515000177,NEXA RESOURCES S.A.,,✅,match exato (RFB)
CANTAREIRA TRANSMISSORA ENERGIA,20732109000120,CANTAREIRA TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
NEON PAGAMENTOS,20855875000182,NEON PAGAMENTOS SA INSTITUICAO DE PAGAMENTO,,⚠️,match parcial (substring leniente) (RFB)
TERRENOS HOLDING,20961867000110,BRASIL TERRENOS HOLDING S.A,,✅,match exato (RFB)
MOVIDA PARTICIPACOES,21314559000166,MOVIDA PARTICIPACOES S.A.,,✅,match exato (RFB)
COMPASS GAS ENERGIA,21389501000181,COMPASS GAS E ENERGIA S.A,,✅,match exato (RFB)
LAGOA 1 ENERGIA RENOVAVEL,21540697000163,LAGOA 1 ENERGIA RENOVAVEL S.A.,,✅,match exato (RFB)
MV4 PARTICIPACOES,21557713000120,MV4 PARTICIPACOES S.A.,,✅,match exato (RFB)
CONCESSIONARIA RODOVIA TAMOIOS,21581284000127,CONCESSIONARIA RODOVIA DOS TAMOIOS S.A.,,✅,match exato (RFB)
TERP GLBL I PARTICIPACOES,21748188000120,TERP GLBL BRASIL I PARTICIPACOES S.A.,,✅,match exato (RFB)
PCH BV II GERACAO ENERGIA,22091543000102,PCH BV II - GERACAO DE ENERGIA S.A.,,✅,match exato (leniente) (RFB)
COMPANHIA GAS MINAS GERAIS,22261473000185,COMPANHIA DE GAS DE MINAS GERAIS GASMIG,,⚠️,match parcial (substring leniente) (RFB)
AFINITTY FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CEDITORIOS,22.358.482/0001-99,AFINITTY MF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIROS - RESPONSABILIDADE LIMITADA,,⚠️,match parcial (4/6 palavras) (RFB)
XINGU RIO TRANSMISSORA ENERGIA,23093056000133,XINGU RIO TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
RIO PARANA ENERGIA,23096269000119,RIO PARANA ENERGIA S.A.,,✅,match exato (RFB)
FURNAS,23274194000119,FURNAS - CENTRAIS ELETRICAS S.A.,,✅,match exato (RFB)
VAMOS LOCACAO CAMINHOES,23373000000132,"VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS S.A.",,✅,match exato (RFB)
AFYA PARTICIPACOES,23399329000172,AFYA PARTICIPACOES S.A.,,✅,match exato (RFB)
ALARES INTERNET PARTICIPACOES,23438929000100,ALARES INTERNET PARTICIPACOES S A,,✅,match exato (RFB)
UTE GNA I GERACAO ENERGIA,23449511000190,UTE GNA I GERACAO DE ENERGIA S.A.,,✅,match exato (RFB)
GG PARTICIPACOES,23477885000110,GG PARTICIPACOES S/A,,✅,match exato (RFB)
UTE GNA II GERACAO ENERGIA,23514652000140,UTE GNA II GERACAO DE ENERGIA S.A.,,✅,match exato (RFB)
EQUATORIAL TRANSMISSAO,23520790000212,VERENE TRANSMISSAO SUBHOLDING S.A,,⚠️,match parcial (1/2 palavras) (RFB)
MIRANTE ENERGETICA,23541412000134,MIRANTE ENERGETICA S.A.,,✅,match exato (RFB)
CELSE / CENTRAIS ELETRICAS SERGIPE,23758522000152,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A.,,⚠️,match parcial (substring) (RFB)
VINCI ENERGIA SUSTENTAVEL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,23778492000146,ASSURUA 1 ENERGIA S.A.,,⚠️,match parcial (1/2 palavras) (RFB)
VELT PARTNERS INVESTIMENTOS,23862803000150,VELT PARTNERS INVESTIMENTOS LTDA,,✅,match exato (RFB)
SB CREDITO FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL CLASSE UNICA FECHADA,23956882000169,SB CREDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,,✅,match exato (RFB)
VERTERA HOLDING,24187087000116,VERTERA HOLDING SA,,✅,match exato (RFB)
PLANO PLANO DESENVOLVIMENTO IMOBILIARIO,24230275000180,PLANO & PLANO DESENVOLVIMENTO IMOBILIARIO S.A,,✅,match exato (RFB)
CEA II,24.274.124/0001-23,ASSURUA 2 ENERGIA S.A,,⚠️,match parcial (renome: CEA II->ASSURUA 2 ENERGIA) (RFB)
BRK AMBIENTAL PARTICIPACOES,24396489000120,BRK AMBIENTAL PARTICIPACOES S.A.,,✅,match exato (RFB)
NDMP I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,24552987000115,NDMP I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,✅,match exato (RFB)
ARGO ENERGIA EMPREENDIMENTOS PARTICIPACOES,24624551000194,ARGO ENERGIA EMPREENDIMENTOS E PARTICIPACOES S.A.,,✅,match exato (RFB)
GJA INDUSTRIAS,24682682000128,GJA INDUSTRIAS S.A.,,✅,match exato (RFB)
ECHOENERGIA PARTICIPACOES,24743678000122,ECHOENERGIA PARTICIPACOES S.A.,,✅,match exato (RFB)
TROPICALIA TRANSMISSORA ENERGIA,24870139000154,TROPICALIA TRANSMISSORA DE ENERGIA S.A.,,✅,match exato (RFB)
EDTE,24870962000160,EDTE - EMPRESA DIAMANTINA DE TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
RUMO MALHA NORTE,24962466000136,RUMO MALHA NORTE S.A,,✅,match exato (RFB)
CSCF VERT,25.005.683/0001-09,VERT COMPANHIA SECURITIZADORA,,⚠️,match parcial (substring leniente) (RFB)
VERT CIA SECURITIZADORA 2019,25.005.683/0001-09,VERT COMPANHIA SECURITIZADORA,,⚠️,match parcial (substring leniente) (RFB)
VERT CIA SECURITIZADORA 2020,25005683000109,VERT COMPANHIA SECURITIZADORA,,⚠️,match parcial (substring leniente) (RFB)
VERT CIA SECURITIZADORA 2023,25.005.683/0001-09,VERT COMPANHIA SECURITIZADORA,,⚠️,match parcial (substring leniente) (RFB)
VERT COMPANHIA SECURITIZADORA,25005683000109,VERT COMPANHIA SECURITIZADORA,,✅,match exato (RFB)
VERT CSCF 2024,25.005.683/0001-09,VERT COMPANHIA SECURITIZADORA,,⚠️,match parcial (substring leniente) (RFB)
ENERGISA TOCANTINS,25086034000171,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (leniente) (RFB)
ENEL GREEN POWER VOLTA GRANDE,25176391000120,ENEL GREEN POWER VOLTA GRANDE S.A.,,✅,match exato (RFB)
HOSPITAL CARE CALEDONIA,25249439000183,HOSPITAL CARE CALEDONIA S.A.,,✅,match exato (RFB)
RIO BRAVO INVESTIMENTOS HOLDING,26039970000194,RIO BRAVO INVESTIMENTOS HOLDING S.A.,,✅,match exato (RFB)
ARTICO MIDDLE CORPORATE FUNDO INVESTIMENTO DIREITOS CREDITORIOS,26208328000191,ARTICO MIDDLE CORPORATE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,✅,match exato (RFB)
FIDC CIELO,26286939000158,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,✅,match exato (leniente) (RFB)
LAVVI EMPREENDIMENTOS IMOBILIARIOS,26462693000128,LAVVI EMPREENDIMENTOS IMOBILIARIOS S.A.,,✅,match exato (RFB)
JANAUBA TRANSMISSORA ENERGIA ELETRICA,26617923000180,JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A,,✅,match exato (RFB)
EMPRESA SUDESTE TRANSMISSAO ENERGIA,26643937000179,EMPRESA SUDESTE DE TRANSMISSAO DE ENERGIA S.A.,,✅,match exato (RFB)
MPM CORPOREOS,26659061000159,MPM CORPOREOS S.A,,✅,match exato (RFB)
BABILONIA HOLDING,26680187000105,BABILONIA HOLDING S.A.,,✅,match exato (RFB)
VERDECARD FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,26722650000134,VERDECARD FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
PRAVALER CREDITO UNIVERSITARIO II FUNDO INVESTIMENTO DIREITOS CREDITORIOS,26749095000134,PRAVALER CREDITO UNIVERSITARIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESP LIMITADAL,,✅,match exato (RFB)
TPE,26796739000145,TPE - TRANSMISSORA PARAISO DE ENERGIA S.A.,,✅,match exato (RFB)
EQUATORIAL TRANSMISSORA 5 SPE,26845283000590,ALTO SERTAO TRANSMISSORA DE ENERGIA S.A,,⚠️,match parcial (substring palavra: TRANSMISSORA/TRANSMISSORA) (RFB)
EQUATORIAL TRANSMISSORA 3 SPE,26845460000295,VALE DO SERTAO TRANSMISSORA DE ENERGIA S.A,,⚠️,match parcial (substring palavra: TRANSMISSORA/TRANSMISSORA) (RFB)
EQUATORIAL TRANSMISSORA 2 SPE,26845497000132,BURITIRAMA TRANSMISSORA DE ENERGIA S.A,,⚠️,match parcial (substring palavra: TRANSMISSORA/TRANSMISSORA) (RFB)
