emissor,cnpj,razao_rfb,razao_cvm,status,obs
MONEE II FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO FINANCEIRO,58152340000118,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO FINANCEIRO - RESP. LIMITADA,,✅,match exato (RFB)
BANCO SAFRA,58160789000128,BANCO SAFRA S A,,✅,match exato (RFB)
ATHON GERACAO DISTRIBUIDA VI,58315021000429,ATHON GERACAO DISTRIBUIDA VI S.A.,,✅,match exato (RFB)
MEDSYSTEMS B24 FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO RECEBIVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,58.376.702/0001-54,MEDSYSTEMS B24 II FIDC SEGMENTO RECEBIVEIS COMERCIAIS DE RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
BLAU FARMACEUTICA,58430828000160,BLAU FARMACEUTICA S.A.,,✅,match exato (RFB)
CONCESSIONARIA ROTA SOROCABANA,58484141000107,CONCESSIONARIA ROTA SOROCABANA SA,,✅,match exato (RFB)
SOL AGORA GREEN III ESG FUNDO INVESTIMENTO DIREITOS CREDITORIOS IS SEGMENTO FINANCEIRO RESPONSABILDADE LIMITADA,58510255000184,SOL AGORA GREEN III ESG FIDC IS SEGMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
CONCESSIONARIA ECOVIAS RAPOSO,58607200000197,CONCESSIONARIA ECOVIAS RAPOSO-CASTELO S.A,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS CONSIGNADOS IX,59086325000181,CONSIGNADOS IX FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
BANCO VOLKSWAGEN,59109165000149,BANCO VOLKSWAGEN S.A.,,✅,match exato (RFB)
TUPI ENERGIAS RENOVAVEIS,59115685000164,TUPI ENERGIAS RENOVAVEIS S.A.,,✅,match exato (RFB)
BANCO LUSO BRASILEIRO,59118133000100,BANCO LUSO BRASILEIRO S/A,,✅,match exato (RFB)
CONCESSIONARIA RODOVIAS PRVIAS,59196897000113,CONCESSIONARIA DE RODOVIAS PRVIAS S.A.,,✅,match exato (RFB)
BANCO GM,59274605000113,BANCO GM S.A,,✅,match exato (RFB)
BANCO PAN,59285411000113,BANCO PAN S.A.,,✅,match exato (RFB)
BEFLY FIDC,59356952000195,BEFLY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
CHEMICAL XIV FUNDO INVESTIMENTO DIREITOS CREDITORIOS,59534745000183,CHEMICAL XIV - FIDC - INDUSTRIA PETROQUIMICA,,⚠️,match parcial (substring leniente) (RFB)
FISIA COMERCIO PRODUTOS ESPORTIVOS,59546515000134,FISIA COMERCIO DE PRODUTOS ESPORTIVOS S.A.,,✅,match exato (RFB)
FIDC CREDITAS AUTO VEICULOS,59.673.010/0001-30,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITAS AUTO VEICULOS,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITAS AUTO XII,59929098000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITAS AUTO XII,,✅,match exato (RFB)
RODOBENS,59981829000165,RODOBENS S.A.,,✅,match exato (RFB)
BANCO RCI,60006075000101,BANCO RCI LTDA,,✅,match exato (RFB)
