dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-20,Moody's,NORSA REFRIGERANTES,Norsa Refrigerantes S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-07-02,
2026-09-20,Moody's,OLEOPLAN,OLEOPLAN S.A. - Óleos Vegetais Planalto,Rating Corporativo,AA.br,Perspectiva estável,2026-03-30,
2026-09-20,Moody's,OCEANPACT SERVICOS MARITIMOS,OceanPact Serviços Marítimos S.A.,Rating de Emissor,A.br,RUR para Elevação,2026-03-06,
2026-09-20,Moody's,OLFAR,Olfar S.A. - Alimento e energia,Rating de Emissor,A.br,Perspectiva estável,2026-07-22,
2026-09-20,Moody's,PACAEMBU CONSTRUTORA,Pacaembu Construtora S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-06-08,
2026-09-20,Moody's,PET CENTER COMERCIO PARTICIPACOES,Pet Center Comércio e Participações S.A. - Petz,Rating de Emissor,AA+.br,Perspectiva estável,2026-02-11,
2026-09-20,Moody's,PETRORECONCAVO,PetroReconcavo S.A.,Rating de Emissor,AA.br,Perspectiva estável,2025-11-19,
2026-09-20,Moody's,PETROLEO BRASILEIRO,Petróleo Brasileiro S.A. (PETROBRAS),Rating Corporativo,AAA.br,Perspectiva estável,2025-12-19,
2026-09-20,Moody's,PRATI,"Prati, Donaduzzi & Cia Ltda.",Rating de Emissor,AA+.br,Perspectiva estável,2026-05-25,
2026-09-20,Moody's,RAIA DROGASIL,Raia Drogasil S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-01-19,
2026-09-20,Moody's,RAIZEN ENERGIA,Raízen Energia S.A.,Rating de Emissor,CC.br,Perspectiva negativa,2026-03-13,
2026-09-20,Moody's,RAIZEN,Raízen S.A.,Rating Corporativo,CC.br,Perspectiva negativa,2026-03-13,
2026-09-20,Moody's,RIO PARANAPANEMA ENERGIA,Rio Paranapanema Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-06-16,
2026-09-20,Moody's,RIO PARANA ENERGIA,Rio Paraná Energia S.A.,Rating de Emissor,AAA.br,Perspectiva estável,2026-06-03,
2026-09-20,Moody's,SLC AGRICOLA,SLC Agrícola S.A.,Rating de Emissor,AA-.br,Perspectiva estável,2026-09-17,
2026-09-20,Moody's,SYN PROP TECH,SYN Prop e Tech S.A.,Rating Corporativo,AA.br,Perspectiva estável,2025-12-17,
